Category,Name,URL,$ Raised,Investors,Founded,HQ,Focus
Audio,Maestra,https://maestrasuite.com/,,,2018,New York City,Voice transcription
Text,Lyne.ai,https://lyne.ai/,,,2020,"Nashville, United States",Data products / sales outreach
Semantic Search,Looria,https://looria.com,,,2021,Zurich,Search product reviews
Chatbot/Conversational AI,Loora,https://loora.ai/,,"Emerge, The Flying Whale Ventures, Kaedan Capital, Sagi Benbasat, Ron Tamir, Ofer Lazovski, Ziv Yanous,",2020,"Tel Aviv, IL",English speaking coach
Image,Lexica,https://lexica.art/,,,2022,"San Francisco, CA",Image Generation
Legal,LEX,https://lexai.co/en,,Innovationsstarter,2021,"Hamburg, Germany",Legal summarization / search
Text,Lex.page,https://lex.page/,,,2022,"Los Angeles, CA",Text generation
Game,Leonardo.Ai,https://leonardo.ai/,,,,,Game asset generation
Text,LanguageTool,https://languagetool.org/,,,2017,"Potsdam, Germany",Writing editor / improver
Chatbot/Conversational AI,Kai,https://kai.ai/,,"Micha Breakstone, Sagi Schliesser, Elad Bleistein",2019,"Tel Aviv, IL",AI well-being companion
Text,Kafkai,https://kafkai.com/,,,2018,"Tallinn, Estonia",Marketing content creation
Text,Jenni,https://jenni.ai/,,,2015,"San Diego, CA",Text generation (AI writer)
Image,Interior AI,https://interiorai.com/,,,2022,Spain,Interior Design
Text,INK,https://inkforall.com/,,,2019,"Houston, United States",NLO / content generation
Classification,hi4.ai,https://hi4.ai/,,"Roberto Singler, Nir Lavion",2020,"Tel Aviv, IL",Data labeling/tagging
Text,Hemingway,https://hemingwayapp.com/,,,2013,"New York, NY",Writing/Editing
Text,Headlime,https://headlime.com/,,,2020,"Roden, Netherlands",Marketing copywriting
Text,Deep Mind Gopher,https://gpt3demo.com/apps/deepmind-gopher,,,,,Text generation
Text,Facebook OPT,https://github.com/facebookresearch/metaseq/tree/main/projects/OPT,,,,,Text Generation
Classification,VectorAI,https://getvectorai.com/,,"Artesian Capital Management, Galileo Ventures",2020,"Sydney, Australia",Image Similarity
Image,Geniverse,https://geniverse.co/,,,2022,"Barcelona, Spain",Image generation
Video,GAN,https://gan.inc/,,"Scalable Ventures, Surge (Accelerator)",2021,"New Delhi, India",Personalized videos
Text,Galactica/Amazon,https://galactica.org/,,,,,Formula to Text
Video,Fliki,https://fliki.ai/,,,2022,"Delaware, US",Text to Video
MLOps/Platform,Fermat,https://fermat.ws/,,MK Venture Capital,2018,"Barcelona, Spain",Image / Text / Content generation
Code,excelformulabot,https://excelformulabot.com/,,,2022,"Orlando, FL",Excel Querying
Summarization,Elicit,https://elicit.org/,,,2022,"San Francisco, CA",Data search / summarization
Image,DreamFusion,https://dreamfusion3d.github.io/,,,,,3D image generation
Image,DrawAnyone,https://drawanyone.com/,,,,,Image Generation
Image,Deep Dream Generator,https://deepdreamgenerator.com/,,,2015,"Fremont, United States",Image generation
Code,Debuild,https://debuild.app/,,"Adam D'Angelo, Amjad Masad, Brianne Kimmel, Calvin French-Owen, Charlie Cheever, Expo Capital Management, Garry Tan, James Higa, Jason Warner, Joshua Buckley, Rahul Vohra, Tom Brown, Work Life Ventures",2018,"San Francisco, CA",Web App Builder
Image,NightCare,https://creator.nightcafe.studio/,,,2019,"Sydney, Australia",Image Generation
Text,Copymatic,https://copymatic.ai/,,,2021,"Los Angeles, United States",Marketing content creation
Summarization,Contentelly,https://contentelly.com/,,,2022,Tbilisi,Blog post generation from news
Text,ContentBot.ai,https://contentbot.ai/,,LianLian Pay,2021,"Miami, United States",Marketing content creation
Text,Contenda,https://contenda.co/,,"Basis Set Ventures, Cassidy Williams, Contrary Capital, Eliot Horowitz, Jim O'Neill, Rough Draft Ventures, Scribble Ventures",2021,"Philadelphia, United States",Marketing content creation
Summarization,Consizely,https://consizely.com/,,,2021,"Dublin, CA",Summarization
Code,CodePilot.ai,https://codepilot.netlify.app/,,,2016,"Plano, United States",Code Search / Developer Profiles
Text,ChibiAI,https://chibi.ai/,,,2021,"Mount Vernon, United States",Text generation (AI Writer)
Classification,Capacities,https://capacities.io/,,Media Lab Bayern,2022,"Sankt Wendel, Germany",Note taking / data organization
Image,Bria,https://bria.ai/,,"Entree Capital, TLV Seed, IN Venture",2020,"Tel Aviv-yafo, Israel",Image Generation
Avatars,Character.AI,https://beta.character.ai/,,,2021,"Menlo Park, CA",AI Characters/Avatars
Text,Bertha.ai,https://bertha.ai/,,,2021,"Ascot, United Kingdom",Marketing / Copywriting
Code,Amazon CodeWhisperer,https://aws.amazon.com/codewhisperer/,,,,,Code Completion / Documentation
Avatars,Avatar AI,https://avatarai.me/,,,,,Photorealistic AI avatars
Bio,MDM,https://arxiv.org/abs/2209.05710,,,,,3D Bio molecule generation
Image,Amazing Photos,https://amazing.photos/,,,,,Image Generation
Text,AISEO,https://aiseo.ai/,,,2021,"Amsterdam, Netherlands",Marketing / Copywriting
Text,AI Writer,https://ai-writer.com/,,,2015,"Regensburg, Germany",Marketing / Content creation
Text,ABtesting.ai,https://abtesting.ai/,,,2019,"Montevideo, Uruguay",Marketing & A/B Testing
Video,Vedia,http://www.vedia.ai/,,Miami Angels,2016,"Miami, FL",Video generation
Image,Crait AI,http://crait.it/,,,2022,"Istanbul, Turkey",AI powered product photography
